,tests,unanswered,high_conf,p1,p2,fp,prec,auc,c@1,f_05_u,F1,brier,overall,pan14_overall,classifier,corpus
0,96,25,50,0.11,0.89,4,0.9166666666666666,0.93,0.88,0.843,0.957,0.865,0.895,0.8184,"Kestemont GI, Minmax + vectorizer_24 + manual",du_essays
1,96,9,49,0.35696,0.92018,3,0.9333333333333333,0.949,0.957,0.909,0.966,0.918,0.94,0.9081929999999999,"Kestemont GI, Minmax + vectorizer_24 + fitted",du_essays
2,96,25,53,0.11,0.89,4,0.9148936170212766,0.923,0.88,0.84,0.956,0.864,0.893,0.8122400000000001,"Kestemont GI, Minmax + vectorizer_25 + manual",du_essays
3,96,5,53,0.2765,0.77714,4,0.92,0.952,0.953,0.916,0.958,0.92,0.94,0.907256,"Kestemont GI, Minmax + vectorizer_25 + fitted",du_essays
4,96,26,48,0.11,0.89,3,0.9333333333333333,0.926,0.887,0.847,0.966,0.862,0.898,0.821362,"Kestemont GI, Cosine + vectorizer_24 + manual",du_essays
5,96,5,47,0.39272,0.5447,4,0.9215686274509803,0.946,0.953,0.918,0.959,0.93,0.941,0.901538,"Kestemont GI, Cosine + vectorizer_24 + fitted",du_essays
6,96,29,49,0.11,0.89,4,0.9148936170212766,0.919,0.854,0.827,0.956,0.855,0.882,0.784826,"Kestemont GI, Cosine + vectorizer_25 + manual",du_essays
7,96,4,49,0.46424,0.6341,4,0.92,0.948,0.955,0.92,0.958,0.933,0.943,0.9053399999999999,"Kestemont GI, Cosine + vectorizer_25 + fitted",du_essays
8,96,6,83,0.11,0.89,4,0.9166666666666666,0.951,0.952,0.909,0.957,0.933,0.94,0.9053519999999999,"BDI, Minmax + vectorizer_24 + manual",du_essays
9,96,5,84,0.12452,0.69668,4,0.9183673469387755,0.952,0.953,0.915,0.957,0.938,0.943,0.907256,"BDI, Minmax + vectorizer_24 + fitted",du_essays
10,96,10,85,0.11,0.89,4,0.9111111111111111,0.946,0.943,0.887,0.953,0.929,0.932,0.8920779999999999,"BDI, Minmax + vectorizer_25 + manual",du_essays
11,96,8,84,0.0977,0.78608,4,0.9148936170212766,0.949,0.948,0.9,0.956,0.932,0.937,0.8996519999999999,"BDI, Minmax + vectorizer_25 + fitted",du_essays
12,96,11,80,0.11,0.89,4,0.9130434782608695,0.942,0.94,0.886,0.955,0.924,0.929,0.8854799999999999,"BDI, Cosine + vectorizer_24 + manual",du_essays
13,96,3,80,0.28544,0.43742,4,0.9215686274509803,0.952,0.956,0.925,0.959,0.939,0.946,0.9101119999999999,"BDI, Cosine + vectorizer_24 + fitted",du_essays
14,96,11,78,0.11,0.89,4,0.9111111111111111,0.95,0.94,0.884,0.953,0.919,0.929,0.8929999999999999,"BDI, Cosine + vectorizer_25 + manual",du_essays
15,96,5,79,0.12452,0.53576,4,0.92,0.954,0.953,0.916,0.958,0.934,0.943,0.9091619999999999,"BDI, Cosine + vectorizer_25 + fitted",du_essays
16,100,51,21,0.11,0.89,0,1.0,0.691,0.498,0.069,0.111,0.771,0.428,0.344118,"Kestemont GI, Minmax + vectorizer_24 + manual",du_reviews
17,100,32,21,0.0977,0.24968,8,0.68,0.687,0.62,0.525,0.618,0.77,0.644,0.42594000000000004,"Kestemont GI, Minmax + vectorizer_24 + fitted",du_reviews
18,100,50,22,0.11,0.89,0,1.0,0.654,0.465,0.127,0.174,0.768,0.437,0.30411000000000005,"Kestemont GI, Minmax + vectorizer_25 + manual",du_reviews
19,100,17,22,0.12452,0.28544,9,0.6785714285714286,0.683,0.643,0.569,0.576,0.765,0.647,0.43916900000000003,"Kestemont GI, Minmax + vectorizer_25 + fitted",du_reviews
20,100,49,20,0.11,0.89,1,0.5,0.575,0.417,0.062,0.08,0.747,0.376,0.23977499999999996,"Kestemont GI, Cosine + vectorizer_24 + manual",du_reviews
21,100,18,19,0.22286,0.55364,1,0.8,0.604,0.543,0.26,0.182,0.705,0.459,0.327972,"Kestemont GI, Cosine + vectorizer_24 + fitted",du_reviews
22,100,50,18,0.11,0.89,1,0.6666666666666666,0.636,0.465,0.122,0.174,0.757,0.431,0.29574,"Kestemont GI, Cosine + vectorizer_25 + manual",du_reviews
23,100,24,18,0.12452,0.2765,7,0.65,0.65,0.583,0.468,0.473,0.752,0.585,0.37895,"Kestemont GI, Cosine + vectorizer_25 + fitted",du_reviews
24,100,22,68,0.11,0.89,0,1.0,0.664,0.525,0.081,0.054,0.647,0.394,0.3486,"BDI, Minmax + vectorizer_24 + manual",du_reviews
25,100,17,68,0.053,0.20498,7,0.5882352941176471,0.657,0.562,0.407,0.364,0.669,0.532,0.36923400000000006,"BDI, Minmax + vectorizer_24 + fitted",du_reviews
26,100,25,69,0.11,0.89,0,1.0,0.635,0.537,0.208,0.158,0.65,0.438,0.34099500000000005,"BDI, Minmax + vectorizer_25 + manual",du_reviews
27,100,9,70,0.06194,0.21392,7,0.6818181818181818,0.637,0.589,0.528,0.448,0.664,0.573,0.375193,"BDI, Minmax + vectorizer_25 + fitted",du_reviews
28,100,15,76,0.11,0.89,1,0.5,0.604,0.506,0.078,0.047,0.614,0.37,0.305624,"BDI, Cosine + vectorizer_24 + manual",du_reviews
29,100,21,75,0.06194,0.4553,1,0.75,0.588,0.545,0.205,0.15,0.627,0.423,0.32046,"BDI, Cosine + vectorizer_24 + fitted",du_reviews
30,100,18,71,0.11,0.89,1,0.6666666666666666,0.627,0.519,0.145,0.095,0.626,0.402,0.325413,"BDI, Cosine + vectorizer_25 + manual",du_reviews
31,100,6,71,0.10664,0.25862,5,0.6428571428571429,0.6,0.551,0.417,0.3,0.618,0.497,0.3306,"BDI, Cosine + vectorizer_25 + fitted",du_reviews
