,classifier,auc,c@1,f_05_u,F1,brier,overall,prec,pan14_overall
0,"Kestemont GI, Minmax + vectorizer_24 + manual",0.703,0.562,0.515,0.719,0.788,0.658,0.9292035398230089,0.395086
1,"Kestemont GI, Minmax + vectorizer_24 + fitted",0.721,0.666,0.652,0.649,0.784,0.694,0.8086124401913876,0.480186
2,"Kestemont GI, Minmax + vectorizer_25 + manual",0.7,0.568,0.513,0.7,0.785,0.653,0.9122807017543859,0.39759999999999995
3,"Kestemont GI, Minmax + vectorizer_25 + fitted",0.723,0.674,0.662,0.634,0.782,0.695,0.8350515463917526,0.487302
4,"Kestemont GI, Cosine + vectorizer_24 + manual",0.693,0.548,0.498,0.714,0.784,0.647,0.9259259259259259,0.379764
5,"Kestemont GI, Cosine + vectorizer_24 + fitted",0.715,0.664,0.645,0.642,0.78,0.689,0.7782805429864253,0.47476
6,"Kestemont GI, Cosine + vectorizer_25 + manual",0.689,0.548,0.5,0.699,0.783,0.644,0.9181818181818182,0.377572
7,"Kestemont GI, Cosine + vectorizer_25 + fitted",0.723,0.673,0.66,0.65,0.784,0.698,0.7876106194690266,0.48657900000000004
8,"BDI, Minmax + vectorizer_24 + manual",0.731,0.663,0.551,0.5,0.728,0.634,0.9560439560439561,0.484653
9,"BDI, Minmax + vectorizer_24 + fitted",0.737,0.706,0.707,0.632,0.739,0.704,0.845771144278607,0.520322
10,"BDI, Minmax + vectorizer_25 + manual",0.732,0.665,0.555,0.493,0.722,0.633,0.9361702127659575,0.48678
11,"BDI, Minmax + vectorizer_25 + fitted",0.731,0.703,0.694,0.625,0.738,0.698,0.8518518518518519,0.5138929999999999
12,"BDI, Cosine + vectorizer_24 + manual",0.727,0.655,0.525,0.478,0.724,0.622,0.9523809523809523,0.476185
13,"BDI, Cosine + vectorizer_24 + fitted",0.729,0.691,0.678,0.611,0.735,0.689,0.8205128205128205,0.5037389999999999
14,"BDI, Cosine + vectorizer_25 + manual",0.719,0.654,0.541,0.482,0.717,0.623,0.9444444444444444,0.470226
15,"BDI, Cosine + vectorizer_25 + fitted",0.718,0.696,0.686,0.616,0.731,0.689,0.8494623655913979,0.49972799999999995
