,classifier,auc,c@1,f_05_u,F1,brier,overall,prec,pan14_overall
0,"BDI, Minmax + vectorizer_24 + manual",0.703,0.619,0.481,0.464,0.713,0.596,0.9487179487179487,0.43515699999999996
1,"BDI, Minmax + vectorizer_24 + fitted",0.715,0.67,0.653,0.6,0.725,0.673,0.7910447761194029,0.47905000000000003
2,"BDI, Minmax + vectorizer_25 + manual",0.7,0.634,0.493,0.457,0.712,0.599,0.9375,0.4438
3,"BDI, Minmax + vectorizer_25 + fitted",0.705,0.667,0.631,0.599,0.725,0.665,0.7688442211055276,0.470235
4,"Kestemont GI, Minmax + vectorizer_24 + manual",0.683,0.606,0.468,0.432,0.702,0.578,0.9466666666666667,0.41389800000000004
5,"Kestemont GI, Minmax + vectorizer_24 + fitted",0.705,0.647,0.606,0.465,0.697,0.624,0.9035087719298246,0.456135
6,"Kestemont GI, Minmax + vectorizer_25 + manual",0.692,0.618,0.478,0.424,0.701,0.583,0.9466666666666667,0.427656
7,"Kestemont GI, Minmax + vectorizer_25 + fitted",0.702,0.651,0.608,0.467,0.694,0.624,0.9035087719298246,0.45700199999999996
8,"Kestemont GI, Cosine + vectorizer_24 + manual",0.683,0.603,0.456,0.416,0.706,0.573,0.9315068493150684,0.411849
9,"Kestemont GI, Cosine + vectorizer_24 + fitted",0.702,0.652,0.602,0.474,0.699,0.626,0.8956521739130435,0.457704
10,"Kestemont GI, Cosine + vectorizer_25 + manual",0.677,0.612,0.465,0.412,0.697,0.572,0.92,0.414324
11,"Kestemont GI, Cosine + vectorizer_25 + fitted",0.698,0.659,0.633,0.503,0.696,0.638,0.8796992481203008,0.459982
12,"BDI, Cosine + vectorizer_24 + manual",0.693,0.612,0.462,0.443,0.715,0.585,0.9333333333333333,0.42411599999999994
13,"BDI, Cosine + vectorizer_24 + fitted",0.701,0.661,0.623,0.585,0.724,0.659,0.7487684729064039,0.46336099999999997
14,"BDI, Cosine + vectorizer_25 + manual",0.69,0.618,0.463,0.43,0.707,0.582,0.92,0.42641999999999997
15,"BDI, Cosine + vectorizer_25 + fitted",0.698,0.666,0.631,0.588,0.72,0.661,0.786096256684492,0.464868
