,tests,unanswered,high_conf,p1,p2,fp,prec,auc,c@1,f_05_u,F1,brier,overall,pan14_overall,classifier,corpus
0,96,17,71,0.11,0.89,2,0.9523809523809523,0.956,0.944,0.889,0.976,0.923,0.938,0.9024639999999999,"BDI, Minmax + vectorizer_24 + manual",du_essays
1,96,13,73,0.12452,0.69668,2,0.9555555555555556,0.956,0.946,0.907,0.966,0.935,0.942,0.904376,"BDI, Minmax + vectorizer_24 + fitted",du_essays
2,96,16,72,0.11,0.89,2,0.9512195121951219,0.957,0.936,0.886,0.963,0.92,0.932,0.895752,"BDI, Minmax + vectorizer_25 + manual",du_essays
3,96,15,73,0.0977,0.78608,2,0.9545454545454546,0.958,0.939,0.897,0.966,0.923,0.937,0.8995619999999999,"BDI, Minmax + vectorizer_25 + fitted",du_essays
4,96,16,74,0.11,0.89,2,0.9534883720930233,0.955,0.948,0.895,0.976,0.924,0.94,0.9053399999999999,"Kestemont GI, Minmax + vectorizer_24 + manual",du_essays
5,96,12,71,0.35696,0.92018,2,0.95,0.964,0.949,0.9,0.962,0.925,0.94,0.9148359999999999,"Kestemont GI, Minmax + vectorizer_24 + fitted",du_essays
6,96,18,72,0.11,0.89,2,0.95,0.952,0.928,0.876,0.962,0.919,0.927,0.883456,"Kestemont GI, Minmax + vectorizer_25 + manual",du_essays
7,96,10,72,0.2765,0.77714,2,0.9534883720930233,0.963,0.955,0.915,0.965,0.936,0.947,0.919665,"Kestemont GI, Minmax + vectorizer_25 + fitted",du_essays
8,96,18,74,0.11,0.89,2,0.9512195121951219,0.96,0.94,0.882,0.975,0.924,0.936,0.9023999999999999,"Kestemont GI, Cosine + vectorizer_24 + manual",du_essays
9,96,3,74,0.39272,0.5447,2,0.9574468085106383,0.963,0.956,0.945,0.957,0.943,0.953,0.9206279999999999,"Kestemont GI, Cosine + vectorizer_24 + fitted",du_essays
10,96,18,75,0.11,0.89,2,0.95,0.953,0.928,0.876,0.962,0.922,0.928,0.8843840000000001,"Kestemont GI, Cosine + vectorizer_25 + manual",du_essays
11,96,3,74,0.46424,0.6341,2,0.9555555555555556,0.972,0.945,0.939,0.945,0.939,0.948,0.9185399999999999,"Kestemont GI, Cosine + vectorizer_25 + fitted",du_essays
12,96,18,73,0.11,0.89,2,0.9512195121951219,0.951,0.94,0.882,0.975,0.922,0.934,0.89394,"BDI, Cosine + vectorizer_24 + manual",du_essays
13,96,2,73,0.28544,0.43742,3,0.9387755102040817,0.964,0.946,0.935,0.948,0.942,0.947,0.911944,"BDI, Cosine + vectorizer_24 + fitted",du_essays
14,96,16,75,0.11,0.89,2,0.95,0.958,0.936,0.884,0.962,0.923,0.932,0.896688,"BDI, Cosine + vectorizer_25 + manual",du_essays
